title, kind, keyword
Anna, movie, flashback
A Star Is Born, movie, flashback
A Simple Favor, movie, flashback
Blade Runner 2049, movie, flashback
The Shawshank Redemption, movie, flashback
Aquaman, movie, flashback
The Dark Knight, movie, flashback
The Hateful Eight, movie, flashback
Interstellar, movie, flashback
Watchmen, movie, flashback
Tolkien, movie, flashback
The Irishman, movie, flashback
Django Unchained, movie, flashback
Suicide Squad, movie, flashback
Bad Times at the El Royale, movie, flashback
John Wick, movie, flashback
Reservoir Dogs, movie, flashback
The Wolf of Wall Street, movie, flashback
Dark Phoenix, movie, flashback
Deadpool 2, movie, flashback
Black Panther, movie, flashback
Titanic, movie, flashback
Get Out, movie, flashback
Guardians of the Galaxy, movie, flashback
Batman Begins, movie, flashback
Alita: Battle Angel, movie, futuristic
Black Panther, movie, futuristic
Guardians of the Galaxy, movie, futuristic
Alien: Covenant, movie, futuristic
Solo: A Star Wars Story, movie, futuristic
Mortal Engines, movie, futuristic
Upgrade, movie, futuristic
Valerian and the City of a Thousand Planets, movie, futuristic
Star Trek Beyond, movie, futuristic
Star Trek, movie, futuristic
Minority Report, movie, futuristic
Independence Day: Resurgence, movie, futuristic
Detroit: Become Human, movie, futuristic
The Hunger Games: Mockingjay - Part 1, movie, futuristic
Prometheus, movie, futuristic
Ghost in the Shell, movie, futuristic
Idiocracy, movie, futuristic
Star Trek Into Darkness, movie, futuristic
Pacific Rim: Uprising, movie, futuristic
Allegiant, movie, futuristic
Big Hero 6, movie, futuristic
Street Fighter, movie, futuristic
The Space Between Us, movie, futuristic
Origin, movie, futuristic
Lost in Space, movie, futuristic
Bicentennial Man, movie, futuristic
Johnny Mnemonic, movie, futuristic
Taylor Swift: Bad Blood, movie, futuristic
Beyond the Black Rainbow, movie, futuristic
Astro Boy, movie, futuristic
DeepStar Six, movie, futuristic
Observer, movie, futuristic
Forbidden World, movie, futuristic
The Anomaly, movie, futuristic
Cyborg 2: Glass Shadow, movie, futuristic
Dark Star, movie, futuristic
Kill Command, movie, futuristic
The Machine, movie, futuristic
Trigun, movie, futuristic
Avengers: Endgame, movie, heist
The Dark Knight, movie, heist
Suicide Squad, movie, heist
Bad Times at the El Royale, movie, heist
Reservoir Dogs, movie, heist
Inception, movie, heist
Baby Driver, movie, heist
The Dark Knight Rises, movie, heist
Ocean's Eight, movie, heist
Solo: A Star Wars Story, movie, heist
Goodfellas, movie, heist
Widows, movie, heist
Heat, movie, heist
The Old Man & the Gun, movie, heist
Pirates of the Caribbean: Dead Men Tell No Tales, movie, heist
The Shape of Water, movie, heist
Snatch, movie, heist
The Fast and the Furious, movie, heist
Once Upon a Time in America, movie, heist
The Usual Suspects, movie, heist
Furious 7, movie, heist
Point Break, movie, heist
Den of Thieves, movie, heist
The Town, movie, heist
Drive, movie, heist
Dragged Across Concrete, movie, heist
Ant-Man, movie, heist
Mission: Impossible III, movie, heist
Batman & Robin, movie, heist
Casino, movie, heist
Hell or High Water, movie, heist
Die Hard, movie, heist
Logan Lucky, movie, heist
Fast Five, movie, heist
Now You See Me, movie, heist
The Great Wall, movie, heist
Ocean's Eleven, movie, heist
The Ridiculous 6, movie, heist
Good Time, movie, heist
The A-Team, movie, heist
Mission: Impossible, movie, heist
Layer Cake, movie, heist
Inside Man, movie, heist
Focus, movie, heist
Elysium, movie, heist
National Treasure, movie, heist
The Pink Panther, movie, heist
Now You See Me 2, movie, heist
Grand Theft Auto V, movie, heist
Avengers: Endgame, movie, hero
Aladdin, movie, hero
Spider-Man: Into the Spider-Verse, movie, hero
Harriet, movie, hero
Spider-Man: Homecoming, movie, hero
The Princess and the Frog, movie, hero
Avengers: Infinity War, movie, hero
Blade, movie, hero
Titans, movie, hero
The Shawshank Redemption, movie, hero
Aquaman, movie, hero
The Dark Knight, movie, hero
Watchmen, movie, hero
Bond 25, movie, hero
Dark Phoenix, movie, hero
The NeverEnding Story, movie, hero
Harry Potter and the Sorcerer's Stone, movie, hero
Black Panther, movie, hero
Power Rangers, movie, hero
Batman Begins, movie, hero
The Matrix, movie, hero
Road House, movie, hero
Robin Hood, movie, hero
The Meg, movie, hero
Spider-Man, movie, hero
Ready Player One, movie, hero
Blade: Trinity, movie, hero
Gladiator, movie, hero
Harry Potter and the Deathly Hallows: Part 2, movie, hero
The Dark Knight Rises, movie, hero
The Departed, movie, hero
Toy Story, movie, hero
Iron Man, movie, hero
It, movie, hero
Baywatch, movie, hero
Back to the Future, movie, hero
Terminator 2: Judgment Day, movie, hero
Thor, movie, hero
Solo: A Star Wars Story, movie, hero
Guardians of the Galaxy Vol. 2, movie, hero
Hellboy, movie, hero
Schindler's List, movie, hero
Spider-Man: Homecoming, movie, idealism
The Dark Knight, movie, idealism
The Wolf of Wall Street, movie, idealism
Black Panther, movie, idealism
Batman Begins, movie, idealism
Dazed and Confused, movie, idealism
Terminator 2: Judgment Day, movie, idealism
Zootopia, movie, idealism
Wonder Woman, movie, idealism
Captain America: The First Avenger, movie, idealism
American Pie, movie, idealism
The Lord of the Rings: The Return of the King, movie, idealism
Hunter Killer, movie, idealism
Transformers, movie, idealism
Braveheart, movie, idealism
Dead Poets Society, movie, idealism
The Lord of the Rings: The Two Towers, movie, idealism
V for Vendetta, movie, idealism
King Arthur: Legend of the Sword, movie, idealism
Won't You Be My Neighbor?, movie, idealism
Superman Returns, movie, idealism
The Dreamers, movie, idealism
The Last Samurai, movie, idealism
Jerry Maguire, movie, idealism
Children of Men, movie, idealism
Easy Rider, movie, idealism
Superman, movie, idealism
Amélie, movie, idealism
Groundhog Day, movie, idealism
Gattaca, movie, idealism
Darkest Hour, movie, idealism
Crash, movie, idealism
School of Rock, movie, idealism
The Magnificent Seven, movie, idealism
Insurgent, movie, idealism
Ghostbusters II, movie, idealism
Alexander, movie, idealism
Dark City, movie, idealism
Rambo, movie, idealism
RoboCop, movie, idealism
Mississippi Burning, movie, idealism
Hero, movie, idealism
The Good Shepherd, movie, idealism
Paths of Glory, movie, idealism
Mr. Deeds, movie, idealism
Serpico, movie, idealism
The Constant Gardener, movie, idealism
Pokémon Detective Pikachu, movie, investigation
Inglourious Basterds, movie, investigation
Fantastic Beasts: The Crimes of Grindelwald, movie, investigation
Spider-Man: Homecoming, movie, investigation
A Simple Favor, movie, investigation
Blade Runner 2049, movie, investigation
The Dark Knight, movie, investigation
Watchmen, movie, investigation
The Wolf of Wall Street, movie, investigation
Batman Begins, movie, investigation
The Silence of the Lambs, movie, investigation
Brightburn, movie, investigation
Justice League, movie, investigation
Mile 22, movie, investigation
The Hangover, movie, investigation
Halloween, movie, investigation
The Dark Knight Rises, movie, investigation
The Departed, movie, investigation
It, movie, investigation
Baywatch, movie, investigation
The Mule, movie, investigation
Annihilation, movie, investigation
Gone Girl, movie, investigation
The Nun, movie, investigation
Suspiria, movie, investigation
Zodiac, movie, investigation
Avengers: Endgame, movie, kidnapping
Spider-Man: Into the Spider-Verse, movie, kidnapping
It, movie, kidnapping
Godzilla: King of the Monsters, movie, kidnapping
Fantastic Beasts: The Crimes of Grindelwald, movie, kidnapping
Thor: Ragnarok, movie, kidnapping
Avengers: Infinity War, movie, kidnapping
Blade Runner 2049, movie, kidnapping
Kidnapping Stella, movie, kidnapping
The Hitcher, movie, kidnapping
Aquaman, movie, kidnapping
The Dark Knight, movie, kidnapping
The Hateful Eight, movie, kidnapping
Suicide Squad, movie, kidnapping
Bad Times at the El Royale, movie, kidnapping
The Wolf of Wall Street, movie, kidnapping
Mission: Impossible - Fallout, movie, kidnapping
Deadpool 2, movie, kidnapping
Black Panther, movie, kidnapping
Venom, movie, kidnapping
Overlord, movie, kidnapping
Power Rangers, movie, kidnapping
Get Out, movie, kidnapping
Guardians of the Galaxy, movie, kidnapping
Batman Begins, movie, kidnapping
The Jungle Book, movie, kidnapping
Mad Max: Fury Road, movie, kidnapping
Inception, movie, kidnapping
The Spy Who Dumped Me, movie, kidnapping
Robin Hood, movie, kidnapping
The Silence of the Lambs, movie, kidnapping
Flesh+Blood, movie, kidnapping
Red Sparrow, movie, kidnapping
Ready Player One, movie, kidnapping
Justice League, movie, kidnapping
Captain America: Civil War, movie, kidnapping
Cold Pursuit, movie, kidnapping
The Princess Bride, movie, kidnapping
The Hangover, movie, kidnapping
The Dark Knight Rises, movie, kidnapping
Village of the Giants, movie, kidnapping
Iron Man, movie, kidnapping
Baywatch, movie, kidnapping
Annihilation, movie, kidnapping
Thor: Ragnarok, movie, knight
Ladyhawke, movie, knight
Justice League, movie, knight
Transformers: The Last Knight, movie, knight
Thor: The Dark World, movie, knight
Star Wars: Episode IV - A New Hope, movie, knight
Harry Potter and the Prisoner of Azkaban, movie, knight
Snow White and the Huntsman, movie, knight
The Mummy, movie, knight
A Knight's Tale, movie, knight
King Arthur: Legend of the Sword, movie, knight
Labyrinth, movie, knight
Outlaw King, movie, knight
Indiana Jones and the Last Crusade, movie, knight
Excalibur, movie, knight
Kingdom of Heaven, movie, knight
Shrek, movie, knight
Your Highness, movie, knight
The Hobbit: The Battle of the Five Armies, movie, knight
The Da Vinci Code, movie, knight
Highlander, movie, knight
Warcraft: The Beginning, movie, knight
Monty Python and the Holy Grail, movie, knight
National Treasure, movie, knight
"As Above\, So Below", movie, knight
King Arthur, movie, knight
Robin Hood, movie, knight
Shrek 2, movie, knight
Austin Powers in Goldmember, movie, knight
Seventh Son, movie, knight
Robin Hood: Prince of Thieves, movie, knight
Assassin's Creed, movie, knight
Robin Hood: Men in Tights, movie, knight
The Fisher King, movie, knight
Eragon, movie, knight
The Seventh Seal, movie, knight
Merlin, movie, knight
Westworld, movie, knight
Army of Darkness, movie, knight
Hotel Transylvania, movie, knight
Sleeping Beauty, movie, knight
Cars 2, movie, knight
Reign of Fire, movie, knight
The Lion in Winter, movie, knight
Evil Dead II, movie, knight
Men in Black: International, movie, macguffin
Captain Marvel, movie, macguffin
Godzilla: King of the Monsters, movie, macguffin
Pulp Fiction, movie, macguffin
Avengers: Infinity War, movie, macguffin
Blade Runner 2049, movie, macguffin
Aquaman, movie, macguffin
Guardians of the Galaxy, movie, macguffin
The Spy Who Dumped Me, movie, macguffin
Ready Player One, movie, macguffin
Justice League, movie, macguffin
Mile 22, movie, macguffin
The Avengers, movie, macguffin
Léon: The Professional, movie, macguffin
Jumanji: Welcome to the Jungle, movie, macguffin
Mortal Engines, movie, macguffin
Valerian and the City of a Thousand Planets, movie, macguffin
Pirates of the Caribbean: Dead Men Tell No Tales, movie, macguffin
The Big Lebowski, movie, macguffin
Star Trek Beyond, movie, macguffin
The Girl in the Spider's Web, movie, macguffin
Batman v Superman: Dawn of Justice, movie, macguffin
Transformers, movie, macguffin
The Social Network, movie, macguffin
Furious 7, movie, macguffin
Atomic Blonde, movie, macguffin
Raiders of the Lost Ark, movie, macguffin
Star Wars: Episode VII - The Force Awakens, movie, macguffin
The Nice Guys, movie, macguffin
The Mummy, movie, macguffin
Mission: Impossible - Rogue Nation, movie, macguffin
Bright, movie, macguffin
Masters of the Universe, movie, macguffin
Game Night, movie, macguffin
Mission: Impossible III, movie, macguffin
Indiana Jones and the Temple of Doom, movie, macguffin
Law Abiding Citizen, movie, macguffin
Indiana Jones and the Last Crusade, movie, macguffin
Skyfall, movie, macguffin
Fast Five, movie, macguffin
Unlocked, movie, macguffin
The Great Wall, movie, macguffin
Kindergarten Cop, movie, macguffin
Prince of Persia: The Sands of Time, movie, macguffin
Skyscraper, movie, macguffin
RocknRolla, movie, macguffin
Children of Men, movie, macguffin
Central Intelligence, movie, macguffin
Casablanca, movie, macguffin
The Last Witch Hunter, movie, macguffin
Drop Dead Gorgeous, movie, mockumentary
What We Do in the Shadows, movie, mockumentary
Talladega Nights: The Ballad of Ricky Bobby, movie, mockumentary
District 9, movie, mockumentary
The Blair Witch Project, movie, mockumentary
Apollo 18, movie, mockumentary
This Is Spinal Tap, movie, mockumentary
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan, movie, mockumentary
The Visit, movie, mockumentary
Paranormal Activity, movie, mockumentary
To Die For, movie, mockumentary
Popstar: Never Stop Never Stopping, movie, mockumentary
REC, movie, mockumentary
The Fourth Kind, movie, mockumentary
Best in Show, movie, mockumentary
Brüno, movie, mockumentary
Into the Storm, movie, mockumentary
I'm Still Here, movie, mockumentary
Trollhunter, movie, mockumentary
Killing Gunther, movie, mockumentary
Team Thor, movie, mockumentary
Quarantine, movie, mockumentary
Tour de Pharmacy, movie, mockumentary
Paranormal Activity 2, movie, mockumentary
The Pyramid, movie, mockumentary
Surf's Up, movie, mockumentary
Operation Avalanche, movie, mockumentary
Waiting for Guffman, movie, mockumentary
The Taking of Deborah Logan, movie, mockumentary
The Poughkeepsie Tapes, movie, mockumentary
Grave Encounters, movie, mockumentary
Faces of Death, movie, mockumentary
Threads, movie, mockumentary
7 Days in Hell, movie, mockumentary
Hell House LLC, movie, mockumentary
Diary of the Dead, movie, mockumentary
Paranormal Activity 3, movie, mockumentary
What We Do in the Shadows: Interviews with Some Vampires, movie, mockumentary
Spider-Man: Far from Home, movie, monster
Avengers: Endgame, movie, monster
Spider-Man: Into the Spider-Verse, movie, monster
It, movie, monster
Godzilla: King of the Monsters, movie, monster
Fantastic Beasts: The Crimes of Grindelwald, movie, monster
Swamp Thing, movie, monster
Thor: Ragnarok, movie, monster
Avengers: Infinity War, movie, monster
Aquaman, movie, monster
Avatar, movie, monster
Suicide Squad, movie, monster
The NeverEnding Story, movie, monster
Harry Potter and the Sorcerer's Stone, movie, monster
Venom, movie, monster
Overlord, movie, monster
Power Rangers, movie, monster
The Hunger Games, movie, monster
A Quiet Place, movie, monster
Justice League, movie, monster
The Lord of the Rings: The Fellowship of the Ring, movie, monster
Alien, movie, monster
The Avengers, movie, monster
It, movie, monster
Jurassic Park, movie, monster
Alien: Covenant, movie, monster
Annihilation, movie, monster
Thor, movie, monster
Split, movie, monster
Kong: Skull Island, movie, monster
Solo: A Star Wars Story, movie, monster
Guardians of the Galaxy Vol. 2, movie, monster
Beauty and the Beast, movie, monster
Suspiria, movie, monster
Hellboy, movie, monster
Jurassic World: Fallen Kingdom, movie, monster
Valerian and the City of a Thousand Planets, movie, monster
The Lord of the Rings: The Return of the King, movie, monster
The Predator, movie, monster
Jaws, movie, monster
Scott Pilgrim vs. the World, movie, monster
Once Upon a Time ... in Hollywood, movie, murder
Avengers: Endgame, movie, murder
The Lion King, movie, murder
Spider-Man: Into the Spider-Verse, movie, murder
John Wick: Chapter 3 - Parabellum, movie, murder
It, movie, murder
Blade Runner, movie, murder
Us, movie, murder
Inglourious Basterds, movie, murder
Godzilla: King of the Monsters, movie, murder
Hereditary, movie, murder
Pulp Fiction, movie, murder
Fantastic Beasts: The Crimes of Grindelwald, movie, murder
Thor: Ragnarok, movie, murder
Avengers: Infinity War, movie, murder
Ladyhawke, movie, murder
Anna, movie, murder
A Simple Favor, movie, murder
Blade Runner 2049, movie, murder
"Extremely Wicked\, Shockingly Evil and Vile", movie, murder
The Hitcher, movie, murder
The Shawshank Redemption, movie, murder
Aquaman, movie, murder
The Dark Knight, movie, murder
The Hateful Eight, movie, murder
Children of Heaven, movie, neorealism
Bicycle Thieves, movie, neorealism
Belly, movie, neorealism
La Strada, movie, neorealism
The Nights of Cabiria, movie, neorealism
The Young and the Damned, movie, neorealism
"Rome\, Open City", movie, neorealism
I Vitelloni, movie, neorealism
Mamma Roma, movie, neorealism
Bitter Rice, movie, neorealism
Germany Year Zero, movie, neorealism
Umberto D., movie, neorealism
Stromboli, movie, neorealism
Il Bidone, movie, neorealism
Miracle in Milan, movie, neorealism
The Ciambra, movie, neorealism
Accattone, movie, neorealism
"The Boss\, Anatomy of a Crime", movie, neorealism
Paisan, movie, neorealism
Ossessione, movie, neorealism
My Voyage to Italy, movie, neorealism
La Terra Trema, movie, neorealism
The Grim Reaper, movie, neorealism
The Wounded Man, movie, neorealism
Los Angeles Plays Itself, movie, neorealism
Laws of Gravity, movie, neorealism
Love in the City, movie, neorealism
Chronicle of a Boy Alone, movie, neorealism
Insiang, movie, neorealism
Kaleidoscope, movie, neorealism
The Children Are Watching Us, movie, neorealism
Kinatay, movie, neorealism
Man of Iron, movie, neorealism
Times and Winds, movie, neorealism
Evolution of a Filipino Family, movie, neorealism
Nosotros los pobres, movie, neorealism
The Path of Hope, movie, neorealism
Midnight Dancers, movie, neorealism
Under the Olive Tree, movie, neorealism
Two Cents Worth of Hope, movie, neorealism
Un mundo maravilloso, movie, neorealism
Rome 11:00, movie, neorealism
Bronco Bullfrog, movie, neorealism
In the Name of the Law, movie, neorealism
The Happiest Place on Earth, movie, neorealism
Mumbai's King, movie, neorealism
Days of Glory, movie, neorealism
The Quiet One, movie, neorealism
Pearblossom Hwy, movie, neorealism
John Wick: Chapter 3 - Parabellum, movie, ninja
Batman Begins, movie, ninja
Ready Player One, movie, ninja
Blind Fury, movie, ninja
Scott Pilgrim vs. the World, movie, ninja
The Last Samurai, movie, ninja
Pineapple Express, movie, ninja
Licence to Kill, movie, ninja
The Defenders, movie, ninja
G.I. Joe: The Rise of Cobra, movie, ninja
Elektra, movie, ninja
Teenage Mutant Ninja Turtles, movie, ninja
Teenage Mutant Ninja Turtles: Out of the Shadows, movie, ninja
Sin City: A Dame to Kill For, movie, ninja
Mortal Kombat, movie, ninja
Batman vs Teenage Mutant Ninja Turtles, movie, ninja
G.I. Joe: Retaliation, movie, ninja
Teenage Mutant Ninja Turtles, movie, ninja
The Wolverine, movie, ninja
"Crouching Tiger\, Hidden Dragon", movie, ninja
Dumb and Dumber To, movie, ninja
Enter the Dragon, movie, ninja
George of the Jungle, movie, ninja
The Green Hornet, movie, ninja
You Only Live Twice, movie, ninja
The Lego Ninjago Movie, movie, ninja
Mighty Morphin Power Rangers: The Movie, movie, ninja
Ninja Assassin, movie, ninja
War, movie, ninja
Speed Racer, movie, ninja
Flushed Away, movie, ninja
Spies Like Us, movie, ninja
The Man with the Iron Fists, movie, ninja
DOA: Dead or Alive, movie, ninja
Mortal Kombat: Annihilation, movie, ninja
Teenage Mutant Ninja Turtles II: The Secret of the Ooze, movie, ninja
In the Name of the King: A Dungeon Siege Tale, movie, ninja
The Master of Disguise, movie, ninja
Batman Ninja, movie, ninja
Batman: Under the Red Hood, movie, ninja
3 Ninjas, movie, ninja
Aliens, movie, parenthood
Annabelle, movie, parenthood
Jurassic Park III, movie, parenthood
Home Again, movie, parenthood
Big Daddy, movie, parenthood
Raising Arizona, movie, parenthood
Liar Liar, movie, parenthood
Addams Family Values, movie, parenthood
Steel Magnolias, movie, parenthood
Mr. Mom, movie, parenthood
Unforgettable, movie, parenthood
She's Having a Baby, movie, parenthood
Roots, movie, parenthood
Force Majeure, movie, parenthood
The Hand That Rocks the Cradle, movie, parenthood
3 Men and a Baby, movie, parenthood
Look Who's Talking Too, movie, parenthood
A Walk on the Moon, movie, parenthood
Throw Momma from the Train, movie, parenthood
Raising Helen, movie, parenthood
Secrets & Lies, movie, parenthood
The Forgotten, movie, parenthood
Nine Months, movie, parenthood
Maggie's Plan, movie, parenthood
It's Alive, movie, parenthood
The Deep End of the Ocean, movie, parenthood
Losing Isaiah, movie, parenthood
The Banger Sisters, movie, parenthood
Bad Milo, movie, parenthood
Being Human, movie, parenthood
The Shaggy Dog, movie, parenthood
Steel Magnolias, movie, parenthood
The Boys Are Back, movie, parenthood
Close Enough, movie, parenthood
Never Let Go, movie, parenthood
Roots: The Next Generations, movie, parenthood
My Baby's Daddy, movie, parenthood
Rock-a-Bye Baby, movie, parenthood
The Suburbans, movie, parenthood
The Shaggy D.A., movie, parenthood
A Different Story, movie, parenthood
Not Suitable for Children, movie, parenthood
Truth Be Told, movie, parenthood
Venus, movie, parenthood
40 Pounds of Trouble, movie, parenthood
The Dark at the Top of the Stairs, movie, parenthood
I Ought to Be in Pictures, movie, parenthood
Deadpool 2, movie, parody
The Princess Bride, movie, parody
Baywatch, movie, parody
The Lion King 3: Hakuna Matata, movie, parody
Deadpool, movie, parody
The Ballad of Buster Scruggs, movie, parody
Airplane!, movie, parody
Tropic Thunder, movie, parody
Megamind, movie, parody
This Is the End, movie, parody
Hot Fuzz, movie, parody
Romeo + Juliet, movie, parody
Spaceballs, movie, parody
Not Another Teen Movie, movie, parody
Johnny English Strikes Again, movie, parody
Won't You Be My Neighbor?, movie, parody
21 Jump Street, movie, parody
The Rocky Horror Picture Show, movie, parody
Enchanted, movie, parody
Starsky & Hutch, movie, parody
The Ridiculous 6, movie, parody
The Wrecking Crew, movie, parody
Sausage Party, movie, parody
Paul Blart: Mall Cop, movie, parody
Your Highness, movie, parody
Spy, movie, parody
Wreck-It Ralph, movie, parody
Citizen Kane, movie, parody
3 Idiots, movie, parody
The Death of Stalin, movie, parody
Freaks of Nature, movie, parody
The Pink Panther, movie, parody
The Little Hours, movie, parody
Mars Attacks!, movie, parody
Spy Kids, movie, parody
Wayne's World, movie, parody
Avengers: Endgame, movie, post-apocalypse
Zombieland, movie, post-apocalypse
The Matrix, movie, post-apocalypse
Snowpiercer, movie, post-apocalypse
Mad Max: Fury Road, movie, post-apocalypse
The Hunger Games, movie, post-apocalypse
A Quiet Place, movie, post-apocalypse
Terminator 2: Judgment Day, movie, post-apocalypse
Bird Box, movie, post-apocalypse
The Terminator, movie, post-apocalypse
Mortal Engines, movie, post-apocalypse
The Handmaid's Tale, movie, post-apocalypse
The Hunger Games: Catching Fire, movie, post-apocalypse
The Dark Tower, movie, post-apocalypse
The Hunger Games: Mockingjay - Part 2, movie, post-apocalypse
The Silence, movie, post-apocalypse
Waterworld, movie, post-apocalypse
The Lego Movie 2: The Second Part, movie, post-apocalypse
The Book of Eli, movie, post-apocalypse
Oblivion, movie, post-apocalypse
The Hunger Games: Mockingjay - Part 1, movie, post-apocalypse
Terminator Genisys, movie, post-apocalypse
The Time Machine, movie, post-apocalypse
The Matrix Reloaded, movie, post-apocalypse
The Blood of Heroes, movie, post-apocalypse
Maze Runner: The Death Cure, movie, post-apocalypse
X-Men: Days of Future Past, movie, post-apocalypse
The Bad Batch, movie, post-apocalypse
The Darkest Minds, movie, post-apocalypse
Twelve Monkeys, movie, post-apocalypse
Stalker, movie, post-apocalypse
Terminator Salvation, movie, post-apocalypse
I Am Legend, movie, post-apocalypse
Cloud Atlas, movie, post-apocalypse
Mad Max, movie, post-apocalypse
The Matrix Revolutions, movie, post-apocalypse
10 Cloverfield Lane, movie, post-apocalypse
WALL·E, movie, post-apocalypse
Doomsday, movie, post-apocalypse
Pulp Fiction, movie, postmodern
Watchmen, movie, postmodern
Fight Club, movie, postmodern
American Gangster, movie, postmodern
Inherent Vice, movie, postmodern
"Paris\, Texas", movie, postmodern
Payback, movie, postmodern
Close-Up, movie, postmodern
Blood for Dracula, movie, postmodern
Youth Without Youth, movie, postmodern
Insignificance, movie, postmodern
Body Swap, movie, postmodern
The Beast of Bray Road, movie, postmodern
American Desert, movie, postmodern
Glamorama, movie, postmodern
The Postmodern Life of My Aunt, movie, postmodern
Eleanor and Franklin: The White House Years, movie, postmodern
The Last Koan, movie, postmodern
Being Black Enough, movie, postmodern
Pozegnanie jesieni, movie, postmodern
Jealous Gods, movie, postmodern
Life's a Tarantino Flick, movie, postmodern
Phantom, movie, postmodern
Gordon, movie, postmodern
By the Soles of Our Feet, movie, postmodern
Bad Spy, movie, postmodern
Quest: A Long Ray's Journey Into Light, movie, postmodern
No Such Thing As Gravity, movie, postmodern
Fragile Machine, movie, postmodern
Hoch Zeit, movie, postmodern
Tale of the Tribe, movie, postmodern
Diamonds in the Sky, movie, postmodern
Ivy League Exorcist: The Bobby Jindal Story, movie, postmodern
Smash Bros. Fight Club Trailer, movie, postmodern
Man.Woman.Blackbird., movie, postmodern
Haemophobia, movie, postmodern
Collective Identity, movie, postmodern
The Forgotten Past, movie, postmodern
The Next Scorsese, movie, postmodern
Hiroshima, movie, postmodern
It, movie, psychopath
Inglourious Basterds, movie, psychopath
Pulp Fiction, movie, psychopath
The Hitcher, movie, psychopath
The Dark Knight, movie, psychopath
Watchmen, movie, psychopath
Avatar, movie, psychopath
Suicide Squad, movie, psychopath
Bad Times at the El Royale, movie, psychopath
Reservoir Dogs, movie, psychopath
True Romance, movie, psychopath
Power Rangers, movie, psychopath
Get Out, movie, psychopath
Batman Begins, movie, psychopath
Baby Driver, movie, psychopath
The Silence of the Lambs, movie, psychopath
Kill Bill: Vol. 1, movie, psychopath
Red Sparrow, movie, psychopath
Halloween, movie, psychopath
Taxi Driver, movie, psychopath
Death Proof, movie, psychopath
The Dark Knight Rises, movie, psychopath
It, movie, psychopath
The Shining, movie, psychopath
Alien: Covenant, movie, psychopath
Terminator 2: Judgment Day, movie, psychopath
Gone Girl, movie, psychopath
Split, movie, psychopath
Guardians of the Galaxy Vol. 2, movie, psychopath
Schindler's List, movie, psychopath
Goodfellas, movie, psychopath
Wonder Woman, movie, psychopath
The House That Jack Built, movie, psychopath
Ma, movie, psychopath
Captain America: The First Avenger, movie, psychopath
Se7en, movie, psychopath
Shutter Island, movie, psychopath
Heat, movie, psychopath
No Country for Old Men, movie, psychopath
A Clockwork Orange, movie, psychopath
The Lion King: Live Action, movie, redemption
Avengers: Endgame, movie, redemption
The Lion King, movie, redemption
Spider-Man: Into the Spider-Verse, movie, redemption
John Wick: Chapter 3 - Parabellum, movie, redemption
Bohemian Rhapsody, movie, redemption
Super 30, movie, redemption
Godzilla: King of the Monsters, movie, redemption
Pulp Fiction, movie, redemption
Fantastic Beasts: The Crimes of Grindelwald, movie, redemption
Thor: Ragnarok, movie, redemption
Avengers: Infinity War, movie, redemption
A Star Is Born, movie, redemption
The Lion King 2: Simba's Pride, movie, redemption
The Shawshank Redemption, movie, redemption
Watchmen, movie, redemption
Avatar, movie, redemption
Suicide Squad, movie, redemption
Bad Times at the El Royale, movie, redemption
Dark Phoenix, movie, redemption
Black Panther, movie, redemption
Power Rangers, movie, redemption
Batman Begins, movie, redemption
Mad Max: Fury Road, movie, redemption
Inception, movie, redemption
The Meg, movie, redemption
Spider-Man, movie, redemption
Ready Player One, movie, redemption
Justice League, movie, redemption
Captain America: Civil War, movie, redemption
The Lord of the Rings: The Fellowship of the Ring, movie, redemption
The Princess Bride, movie, redemption
Gladiator, movie, redemption
Harry Potter and the Deathly Hallows: Part 2, movie, redemption
Halloween, movie, redemption
The Avengers, movie, redemption
The Dark Knight Rises, movie, redemption
Toy Story, movie, redemption
Iron Man, movie, redemption
Baywatch, movie, redemption
Léon: The Professional, movie, redemption
The Mule, movie, redemption
Terminator 2: Judgment Day, movie, redemption
Annihilation, movie, redemption
Mulan, movie, redemption
Guardians of the Galaxy Vol. 2, movie, redemption
Beauty and the Beast, movie, redemption
Suspiria, movie, redemption
Aladdin, movie, remake
A Star Is Born, movie, remake
Kidnapping Stella, movie, remake
Pet Sematary, movie, remake
Dumbo, movie, remake
Charlie's Angels, movie, remake
Power Rangers, movie, remake
The Jungle Book, movie, remake
The Upside, movie, remake
Cold Pursuit, movie, remake
West Side Story, movie, remake
The Departed, movie, remake
12 Angry Men, movie, remake
Baywatch, movie, remake
Beauty and the Beast, movie, remake
Suspiria, movie, remake
Widows, movie, remake
Heat, movie, remake
The Lion King 3: Hakuna Matata, movie, remake
Blind Fury, movie, remake
Charlie and the Chocolate Factory, movie, remake
The Thing, movie, remake
Cinderella, movie, remake
Les Misérables, movie, remake
Transformers, movie, remake
The Blue Lagoon, movie, remake
Man of Steel, movie, remake
Jacob's Ladder, movie, remake
Scarface, movie, remake
Overboard, movie, remake
Just Go with It, movie, remake
The Equalizer, movie, remake
Star Wars: Episode VII - The Force Awakens, movie, remake
Fantastic Four, movie, remake
The Mummy, movie, remake
True Grit, movie, remake
The Mummy, movie, remake
The Magnificent Seven, movie, remake
The Girl with the Dragon Tattoo, movie, remake
Ghost in the Shell, movie, remake
